Assay,Library,R1_files,R2_files
hBFA1,hBFA1-FLC4_alpha-R1-Subpool,hBFA1-FLC4_alpha-R1-Subpool_S14_R1_001.fastq.gz,
hBFA1,hBFA1-FLC4_alpha-R2-Subpool,hBFA1-FLC4_alpha-R2-Subpool_S15_R1_001.fastq.gz,
hBFA1,hBFA1-GlyEtOH-R1-Time16,hBFA1_h2_hBFA1-GlyEtOH-R1-Time16_R1.fastq.gz,hBFA1_h2_hBFA1-GlyEtOH-R1-Time16_R2.fastq.gz
hBFA1,hBFA1-GlyEtOH-R1-Time24,hBFA1_h2_hBFA1-GlyEtOH-R1-Time24_R1.fastq.gz,hBFA1_h2_hBFA1-GlyEtOH-R1-Time24_R2.fastq.gz
hBFA1,hBFA1-GlyEtOH-R1-Time40,hBFA1_h2_hBFA1-GlyEtOH-R1-Time40_R1.fastq.gz,hBFA1_h2_hBFA1-GlyEtOH-R1-Time40_R2.fastq.gz
hBFA1,hBFA1-GlyEtOH-R1-Time8,hBFA1_h2_hBFA1-GlyEtOH-R1-Time8_R1.fastq.gz,hBFA1_h2_hBFA1-GlyEtOH-R1-Time8_R2.fastq.gz
hBFA1,hBFA1-GlyEtOH-R2-Time16,hBFA1_h2_hBFA1-GlyEtOH-R2-Time16_R1.fastq.gz,hBFA1_h2_hBFA1-GlyEtOH-R2-Time16_R2.fastq.gz
hBFA1,hBFA1-GlyEtOH-R2-Time24,hBFA1_h2_hBFA1-GlyEtOH-R2-Time24_R1.fastq.gz,hBFA1_h2_hBFA1-GlyEtOH-R2-Time24_R2.fastq.gz
hBFA1,hBFA1-GlyEtOH-R2-Time40,hBFA1_h2_hBFA1-GlyEtOH-R2-Time40_R1.fastq.gz,hBFA1_h2_hBFA1-GlyEtOH-R2-Time40_R2.fastq.gz
hBFA1,hBFA1-GlyEtOH-R2-Time8,hBFA1_h2_hBFA1-GlyEtOH-R2-Time8_R1.fastq.gz,hBFA1_h2_hBFA1-GlyEtOH-R2-Time8_R2.fastq.gz
hBFA1,hBFA1-GlyEtOH_alpha-R1-Subpool,hBFA1-GlyEtOH_alpha-R1-Subpool_S36_R1_001.fastq.gz,
hBFA1,hBFA1-GlyEtOH_alpha-R1-autodiploids,hBFA1-GlyEtOH_alpha-R1-autodiploids_S38_R1_001.fastq.gz,
hBFA1,hBFA1-GlyEtOH_alpha-R2-Subpool,hBFA1-GlyEtOH_alpha-R2-Subpool_S37_R1_001.fastq.gz,
hBFA1,hBFA1-GlyEtOH_alpha-R2-autodiploids,hBFA1-GlyEtOH_alpha-R2-autodiploids_S39_R1_001.fastq.gz,
hBFA1,hBFA1-POOL,hBFA1_h1_hBFA1-POOL_R1.fastq.gz,hBFA1_h1_hBFA1-POOL_R2.fastq.gz
hBFA1,hBFA1-SC-R1-Time16,hBFA1_h1_hBFA1-SC-R1-Time16_R1.fastq.gz,hBFA1_h1_hBFA1-SC-R1-Time16_R2.fastq.gz
hBFA1,hBFA1-SC-R1-Time24,hBFA1_h1_hBFA1-SC-R1-Time24_R1.fastq.gz,hBFA1_h1_hBFA1-SC-R1-Time24_R2.fastq.gz
hBFA1,hBFA1-SC-R1-Time40,hBFA1_h1_hBFA1-SC-R1-Time40_R1.fastq.gz,hBFA1_h1_hBFA1-SC-R1-Time40_R2.fastq.gz
hBFA1,hBFA1-SC-R1-Time8,hBFA1_h1_hBFA1-SC-R1-Time8_R1.fastq.gz,hBFA1_h1_hBFA1-SC-R1-Time8_R2.fastq.gz
